index32251723,indexpt,namept,siteno_x,index,site,mulpmad,vlpmad,cvlpmad,sitenoint,siteno_y,sitenostr,indexwS,namewS,siteno,numagesptbs,xbPTbs,numparts4res,VARPTbs,avgVARres,varVARres,varreseff,MER,cver,acvr,cvcvr,ASLD,tsptsld,cvptad,siteag,AQFR_CD,NAT_AQFR_C,Layer,WELL_DEPTH,OTOP_dep,OBTM_dep,TOP,BOT,ALT_VA,DEC_LAT_VA,DEC_LONG_V,Source,geometry,index32251724
0,0,ptad_320233091395501.csv,320233091395501,25,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF320233091395501.csv,76.00028776,147.7267904,0.159924276,320233091395501.csv,3.20233E+14,3.20233E+14,0,well_summ_parts_320233091395501_21451903.csv,3.20233E+14,100,884.1439162,100,1.44016E+11,43.78323327,2660.176446,98.69455221,35.80325526,0.277475138,0.171321605,0.083743447,2.477550023,135708483.2,429.2220849,USGS_320233091395501,112MRVA,N100MSRVVL,MRVA,80,-9999,-9999,40,80,74,32.042417,-91.665133,MAP 2022,POINT (-91.665133 32.042417),0
1,1,ptad_320237091493801.csv,320237091493801,24,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF320237091493801.csv,100.0012632,1491.577202,0.386204547,320237091493801.csv,3.20237E+14,3.20237E+14,1,well_summ_parts_320237091493801_21451903.csv,3.20237E+14,100,1409.903078,100,1.66101E+11,586.5604196,636448.7273,875.8571307,53.32519754,0.554988727,0.478947293,0.007030558,9.089967178,1712458223,289.0657855,USGS_320237091493801,112MRVA,N100MSRVVL,MRVA,100,58,98,58,98,66,32.043667,-91.827306,MAP 2022,POINT (-91.827306 32.043667),1
2,2,ptad_320958091425501.csv,320958091425501,15,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF320958091425501.csv,140.0649907,13437.28771,0.827610918,320958091425501.csv,3.20958E+14,3.20958E+14,2,well_summ_parts_320958091425501_21451903.csv,3.20958E+14,100,3959.787866,100,9.94628E+12,389.5774902,39203.93061,158.2796222,34.48191064,0.364855738,0.590702146,0.009761786,16.50727057,1742600461,796.4499739,USGS_320958091425501,112MRVA,N100MSRVVL,MRVA,77,72,77,72,77,65,32.166306,-91.714972,MAP 2022,POINT (-91.714972 32.166306),2
3,3,ptad_322306090523201.csv,322306090523201,58,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF322306090523201.csv,29.99642507,234.0977163,0.510069188,322306090523201.csv,3.22306E+14,3.22306E+14,3,well_summ_parts_322306090523201_21451903.csv,3.22306E+14,100,11166.48781,100,3.62021E+14,20.13657989,765.4483681,34.39810939,11.30368192,0.518856615,0.42831339,0.03133566,25.6397216,10481030867,1703.923311,USGS_322306090523201,112MRVA,N100MSRVVL,MRVA,181,141,181,141,181,110,32.385483,-90.8758,MAP 2022,POINT (-90.8758 32.385483),3
4,5,ptad_324044090323402.csv,324044090323402,48,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF324044090323402_1.csv,94.99370982,1489.502083,0.406280248,324044090323402_1.csv,3.24044E+14,3.24044E+14,5,well_summ_parts_324044090323402_21451903.csv,3.24044E+14,100,1083.767972,100,47222204014,155.426688,210058.1398,202.2870206,20.52737912,0.692868002,0.264008758,0.000199834,1.592356582,44494872.8,200.5103588,USGS_324044090323402,112MRVA,N100MSRVVL,MRVA,47,37,47,37,47,100,32.678869,-90.542911,MAP 2022,POINT (-90.542911 32.678869),4
5,5,ptad_324044090323402.csv,324044090323402,4,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF324044090323402_2.csv,98.98997956,6264.373335,0.799553597,324044090323402_2.csv,3.24044E+14,3.24044E+14,5,well_summ_parts_324044090323402_21451903.csv,3.24044E+14,100,1083.767972,100,47222204014,155.426688,210058.1398,202.2870206,20.52737912,0.692868002,0.264008758,0.000199834,1.592356582,44494872.8,200.5103588,USGS_324044090323402,112MRVA,N100MSRVVL,MRVA,47,37,47,37,47,100,32.678869,-90.542911,MAP 2022,POINT (-90.542911 32.678869),5
6,6,ptad_324615090375001.csv,324615090375001,35,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF324615090375001_1.csv,32.99840393,1087.464989,0.999343305,324615090375001_1.csv,3.24615E+14,3.24615E+14,6,well_summ_parts_324615090375001_21451903.csv,3.24615E+14,100,12369.55149,100,1.75873E+13,615.0021651,3493544.51,426.307157,26.39942608,0.782108177,0.740813917,0.123854355,25.47401596,9804532420,339.0359082,USGS_324615090375001,112MRVA,N100MSRVVL,MRVA,74,71,74,71,74,98.38,32.770966,-90.630651,MAP 2022,POINT (-90.630651 32.770966),6
7,6,ptad_324615090375001.csv,324615090375001,2,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF324615090375001_2.csv,62.00355661,1.506372151,0.019794728,324615090375001_2.csv,3.24615E+14,3.24615E+14,6,well_summ_parts_324615090375001_21451903.csv,3.24615E+14,100,12369.55149,100,1.75873E+13,615.0021651,3493544.51,426.307157,26.39942608,0.782108177,0.740813917,0.123854355,25.47401596,9804532420,339.0359082,USGS_324615090375001,112MRVA,N100MSRVVL,MRVA,74,71,74,71,74,98.38,32.770966,-90.630651,MAP 2022,POINT (-90.630651 32.770966),7
8,7,ptad_324627091505203.csv,324627091505203,30,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF324627091505203.csv,11.99996305,0.659227001,0.067660871,324627091505203.csv,3.24627E+14,3.24627E+14,7,well_summ_parts_324627091505203_21451903.csv,3.24627E+14,100,463.9600966,100,21994206833,42.51938451,1385.041783,126.5367611,40.48345396,0.27786305,0.156965936,0.026230623,1.633125833,47570871.33,319.6491267,USGS_324627091505203,112UPTC,N9999OTHER,TRRC,112,84,112,84,112,130,32.774301,-91.847905,MAP 2022,POINT (-91.847905 32.774301),8
9,9,ptad_325947091175601.csv,325947091175601,7,C:\github\map_gwage\MERASwd\Scripts\pdfs\PDF325947091175601.csv,2637.684799,2842085.664,0.63913954,325947091175601.csv,3.25947E+14,3.25947E+14,9,well_summ_parts_325947091175601_21451903.csv,3.25947E+14,100,667.6453685,100,46133020569,33.36780857,3896.854086,107.7091207,31.22930732,0.33232567,0.153493858,0.022850325,8.590684882,1144268994,321.7066993,USGS_325947091175601,112MRVA,N100MSRVVL,MRVA,115,95,115,95,115,117,32.996513,-91.299002,MAP 2022,POINT (-91.299002 32.996513),9
